Date,Title,Brand
"November 27, 2024",Moana 2,Disney
"December 6, 2024",Nightbitch,Searchlight
"December 20, 2024",Mufasa: The Lion King,Disney
"December 25, 2024",A Complete Unknown,Searchlight
"February 14,2025",Captain America: Brave New World,Marvel
"March 21, 2025",Disney's Snow White,Disney
"April 11, 2025",The Amateur,2Oth Century
"May 2, 2025",Thunderbolts=,Marvel
"23, 2025 May",Lilo & Stitch,Disney
"June 13, 2025",Elio,Pixar
"July 25, 2025",The Fantastic Four: First Steps,Marvel
"August 8, 2025",Freakier Friday,Disney
"September 12, 2025",Untitled Disney,Disney
"October 10, 2025",Tron: Ares,Disney
"November 7, 2025",Predator: Badlands,2Oth Century
"November 26, 2025",Zootopia 2,Disney
"December 19, 2025",Avatar: Fire and Ash,2Oth Century
