,Title,Brand,Platform,Type
November 12,Deadpool & Wolverine,Marvel,Disney+,Scripted Film (Pay 1)
November 14,Nothing Say,FX,Hulu,Scripted Series
November 19,Interior Chinatown,Hulu Originals,Hulu,Scripted Series
November 21,Alien: Romulus,2Oth Century Studios,Hulu,Scripted Film (Pay 1)
November 22,Jim Gaffigan: The Skinny,Hulu Originals,Hulu,Comedy Special
November 22,Out of My Mind,Disney Branded Television,Disney+,Scripted Film
November 29,Beatles '64,Disney,Disney+,Documentary Film
December 3,Star Wars: Skeleton Crew,Lucasfilm,Disney+,Scripted Series
December 9,The Simpsons Funday Football,The Simpsons,Disney+,Livestream
December 11,Dream Productions,Pixar,Disney+,Animated Series
December 13,Elton John: Never Too Late,Disney Branded Television,Disney+,Documentary Film
December 20,Ilana Glazer: Human Magic,Hulu Originals,Hulu,Comedy Special
"January 29, 2025",Your Friendly Neighborhood Spider-Man,Marvel,Disney+,Animated Series
"February 19, 2025",Win or Lose,Pixar,Disney+,Animated Series
"March 4, 2025",Daredevil: Born Again,Marvel,Disney+,Scripted Series
"April 2025 22,",Andor (Season 2),Lucasfilm,Disney+,Scripted Series
Spring 2025,The Handmaid's Tale (Season 6),Hulu Originals,Hulu,Scripted Series
"June 2025 24 ,",Ironheart,Marvel,Disney+,Scripted Series
Release dates not yet,Alien: Earth,FX,Hulu,Scripted Series
announced;,A Real Bug's Life (Season 2),National Geographic,Disney+,Documentary Series
Titles listed in alphabetical order,Bill Burr Stand-up Comedy Special,Hulu Originals,Hulu,Comedy Special
,Chad Powers,Hulu Originals,Hulu,Scripted Series
,Chris Distefano: Its Just Unfortunate,Hulu Originals,Hulu,Comedy Special
,Eyes of Wakanda,Marvel,Disney+,Animated Series
,Good American Family,Hulu Originals,Hulu,Scripted Series
,Limitless with Chris Hemsworth (Season 2),National Geographic,Disney+,Documentary Series
,Paradise,Hulu Originals,Hulu,Scripted Series
,Wood Jr. Stand-up Comedy Special Roy,Hulu Originals,Hulu,Comedy Special
