Date,Attraction / Event,Location
"November 15, 2024",Tiana's Bayou Adventure,Disneyland Resort
,Island Tower at Disney's Polynesian Village Resort,Walt Disney World Resort
"December 21, 2024",Disney Treasure (Maiden Voyage),Disney Cruise Line
January 2025,New Nighttime Spectacular,Disneyland Paris
"November 20, 2025",Disney Destiny (Maiden Voyage),Disney Cruise Line
"December 15,2025",Disney Adventure (Maiden Voyage),Disney Cruise Line
2025,Reimagined Test Track Reopening,Walt Disney World Resort
2025,Spaceship Earth Lounge,Walt Disney World Resort
2025,Pirates of the Caribbean Lounge,Walt Disney World Resort
2025,"""Disney Starlight"" New Magic Kingdom Nighttime Parade",Walt Disney World Resort
2025,Storyliving by Disney = Cotino Welcomes First Residents,Storyliving by Disney = Cotino
2025,Disneyland's 7Oth Anniversary,Disneyland Resort
