,Pre-Tax Income/Loss,Tax Benefit /,After-Tax (2) Income/Loss,Diluted EPS(3),Change vs. prior-year
Year Ended September 28 2024,,,,,
As reported,"$7,569","(S1,796)","$5,773",,21009
Exclude:,,,,,
Restructuring and impairment charges',"3,595",(293),"3,302",1.78,
Amortization of TFCF and Hulu intangible = assets and fair value step-up on film and television costs,"1,677",(391),"1,286",0.68,
(6) Other expense,65,(11),54,0.03,
Income Tax Reserve Adjustments,,(418),(418),(0.23),
Excluding certain items,"$12,906","(52,909)","$9,997",S4.97,32%
Year Ended September 302023,,,,,
As reported,"$4,769","(S1,379)","$3,390",$1.29,
Exclude:,,,,,
Restructuring and impairment charges,"3,836",(717),"3,119",1.69,
Amortization of TFCF and Hulu intangible = assets and fair value step-up on film and television costs,"1,998",(465),"1,533",0.82,
"((6) Other Income, net",(96),13,(83),(0.05),
Excluding certain items,"$10,507","(S2,548)","$7,959",$3.76,
