,"Quarter Ended.October 1, 2022.Entertainment","Quarter Ended.October 1, 2022.Sports","Quarter Ended.October 1, 2022.DTC Streaming Businesses","Quarter Ended.December 31, 2022.Entertainment","Quarter Ended.December 31, 2022.Sports","Quarter Ended.December 31, 2022.DTC Streaming Businesses"
Linear Networks,$806,$929,,"$1,330",($95),
DTC streaming businesses (Direct-to-Consumer and ESPN+ businesses),"(1,406)",(66),"($1,472)",(984),(69),"(51,053)"
Content Sales/Licensing and Other,(8),,,(1),,
Segment operating income (loss),($608),$863,,$345,,
,Quarter Ended,Quarter Ended,Quarter Ended,Quarter Ended,Quarter Ended,Quarter Ended
,"April 1, 2023","April 1, 2023","April 1, 2023","July 1, 2023","July 1, 2023","July 1, 2023"
,Entertainment,Sports,DTC Streaming Businesses,Entertainment,Sports,DTC Streaming Businesses
Linear Networks,$959,$866,,,$861,
DTC streaming businesses (Direct-to-Consumer and ESPN+ businesses),(587),(72),($659),(505),,
Content Sales/Licensing and Other,83,,,(112),,
Segment operating income,$455,$794,,$408,$854,
