AEROSPACE TECHNOLOGIES,2Q 2025,2Q 2024,Change
Sales,"$4,307","$3,891",11%
Organic 1 Growth,,,6%
Segment Profit,"$1,098","$1,060",4%
Segment Margin,25.5%,27.2%,-170 bps
INDUSTRIAL AUTOMATION,,,
Sales,"$2,380","$2,506",(5%)
Organic 1 Growth,,,-%
Segment Profit,$456,$477,(4%)
Segment Margin,19.2%,19.0%,20 bps
BUILDING AUTOMATION,,,
Sales,"$1,826","$1,571",16%
Organic 1 Growth,,,8%
Segment Profit,$479,$397,21%
Segment Margin,26.2%,25.3%,90 bps
ENERGYAND SUSTAINABILITY SOLUTIONS,,,
Sales,"$1,837","$1,604",15%
Organic 1 Growth,,,6%
Segment Profit,$443,$405,9%
Segment Margin,24.1%,25.2%,-110 bps
