Operating income,"Three Months Ended June 30,.2025.$ 2,114","Three Months Ended June 30,.2024.$ 1,978","Twelve Months Ended December 31,.2024.$ 7,441"
Stock compensation expense 1,57,55,194
"Repositioning, Other 2,3",54,58,292
Pension and other postretirement service costs 4,15,16,65
Amortization of acquisition-related intangibles 5,133,85,415
Acquisition-related costs 6,(7),7,25
Indefinite-lived intangible asset impairment 1,-,-,48
Impairment of assets held for sale,-,-,219
Segment profit,"$ 2,366","$ 2,199","$ 8,699"
Operating income,"$ 2,114","$ 1,978","$ 7,441"
÷ Net sales,"$ 10,352","$ 9,577","$ 38,498"
Operating income margin%,20.4 %,20.7 %,19.3 %
Segment profit,"$ 2,366","$ 2,199","$ 8,699"
÷ Net sales,"$ 10,352","$ 9,577","$ 38,498"
Segment profit margin%,22.9 %,23.0 %,22.6 %
