,"Three Months Ended June 30,.2025","Three Months Ended June 30,.2024","Twelve Months Ended December 31,.2024","Twelve Months Ended December 31,.2025(E)"
Earnings per share of common stock - diluted 1,$ 2.45,$ 2.36,$ 8.71,$9.62 - $9.82
Pension mark-to-market expense 2,-,-,0.14,No Forecast
Amortization of acquisition-related intangibles 3,0.16,0.10,0.49,0.75
Acquisition-related costs 4,-,0.03,0.09,0.02
Divestiture-related costs 5,0.10,-,0.04,No Forecast
Russian-related charges 6,-,-,0.03,-
Indefinite-lived intangible asset impairment 7,-,-,0.06,-
Impairment of assets held for sale 8,-,-,0.33,0.02
Loss on sale of business 9,0.04,-,-,0.04
Adjusted earnings per share of common stock - diluted,$ 2.75,$ 2.49,$ 9.89,$10.45 - $10.65
